Id,Label,Intent,Extent,Frequency,Positive,Negative,Quality,Pertinence,Mean,Selected
104,|11|14|26|20|8|,|11|14|26|20|8|,|1|3|6|8|10|11|14|16|18|20|21|24|26|28|30|-|1|3|6|8|10|11|14|15|18|20|21|24|26|27|29|-|2|3|5|8|9|11|14|15|18|20|22|24|26|28|29|-|2|4|6|8|10|11|14|16|18|20|22|24|26|27|30|-|1|3|5|8|10|11|14|16|18|20|22|24|26|27|30|-|1|3|6|8|10|11|14|16|18|20|22|24|26|28|30|-|1|4|5|8|10|11|14|15|18|20|22|23|26|27|30|-|1|4|6|8|10|11|14|16|18|20|22|24|26|28|29|-|1|3|6|8|9|11|14|16|18|20|22|24|26|28|30|-|1|3|5|8|9|11|14|15|18|20|22|24|26|27|29|-|1|4|6|8|10|11|14|16|17|20|22|24|26|27|30|-|1|4|6|8|10|11|14|16|18|20|22|24|26|28|30|-|1|3|6|8|10|11|14|16|18|20|22|23|26|27|29|-|1|4|5|8|10|11|14|16|18|20|22|24|26|28|30|-|1|3|6|8|10|11|14|15|18|20|22|24|26|28|30|-|0|3|6|8|10|11|14|16|18|20|22|24|26|28|30|-|1|4|6|8|10|11|14|16|18|20|22|24|26|28|29|-|0|4|5|8|9|11|14|16|18|20|22|24|26|27|30|-|1|3|5|8|10|11|14|16|18|20|22|23|26|27|30|-|2|3|6|8|9|11|14|16|18|20|22|24|26|28|30|-|1|3|6|8|9|11|14|16|18|20|22|24|26|27|29|-|1|3|6|8|10|11|14|15|18|20|22|24|26|27|29|-|1|3|5|8|9|11|14|16|18|20|22|24|26|27|30|-|2|4|5|8|9|11|14|15|18|20|22|24|26|27|29|-|1|3|6|8|10|11|14|15|17|20|22|24|26|27|29|-|2|4|5|8|10|11|14|15|18|20|22|24|26|28|30|-|1|4|6|8|10|11|14|16|18|20|22|24|26|28|30|-|2|4|5|8|10|11|14|16|18|20|22|24|26|28|30|-|0|4|5|8|9|11|14|16|18|20|22|24|26|27|30|-|2|4|6|8|9|11|14|15|18|20|22|24|26|27|29|-|1|4|6|8|10|11|14|16|18|20|22|24|26|28|30|-|1|3|6|8|9|11|14|16|18|20|22|24|26|27|29|-|2|4|6|8|10|11|14|15|18|20|22|23|26|27|30|-|1|3|6|8|9|11|14|16|18|20|22|24|26|27|29|,34,16,18,0.470588,2.16117,0.281828,TRUE
105,|11|14|26|8|,|11|14|26|8|,|1|3|6|8|10|11|14|16|18|20|21|24|26|28|30|-|1|3|6|8|10|11|14|15|18|20|21|24|26|27|29|-|2|3|5|8|9|11|14|15|18|20|22|24|26|28|29|-|2|4|6|8|10|11|14|16|18|20|22|24|26|27|30|-|1|3|5|8|10|11|14|16|18|20|22|24|26|27|30|-|1|3|6|8|10|11|14|16|18|20|22|24|26|28|30|-|1|4|5|8|10|11|14|15|18|20|22|23|26|27|30|-|1|4|6|8|10|11|14|16|18|20|22|24|26|28|29|-|1|3|6|8|9|11|14|16|18|20|22|24|26|28|30|-|1|3|5|8|9|11|14|15|18|20|22|24|26|27|29|-|1|3|6|8|10|11|14|15|18|19|22|24|26|28|30|-|1|4|6|8|10|11|14|16|17|20|22|24|26|27|30|-|1|4|6|8|10|11|14|16|18|20|22|24|26|28|30|-|1|3|6|8|10|11|14|16|18|20|22|23|26|27|29|-|1|4|5|8|10|11|14|16|18|20|22|24|26|28|30|-|1|3|6|8|10|11|14|15|18|20|22|24|26|28|30|-|0|3|6|8|10|11|14|16|18|20|22|24|26|28|30|-|1|4|6|8|10|11|14|16|18|20|22|24|26|28|29|-|0|4|5|8|9|11|14|16|18|20|22|24|26|27|30|-|1|3|5|8|10|11|14|16|18|20|22|23|26|27|30|-|2|3|6|8|9|11|14|16|18|20|22|24|26|28|30|-|1|3|6|8|9|11|14|16|18|20|22|24|26|27|29|-|1|3|6|8|10|11|14|15|18|20|22|24|26|27|29|-|1|3|5|8|9|11|14|16|18|20|22|24|26|27|30|-|2|4|5|8|9|11|14|15|18|20|22|24|26|27|29|-|1|3|6|8|10|11|14|15|17|20|22|24|26|27|29|-|2|4|5|8|10|11|14|15|18|20|22|24|26|28|30|-|1|4|6|8|10|11|14|16|18|20|22|24|26|28|30|-|2|4|5|8|10|11|14|16|18|20|22|24|26|28|30|-|0|4|5|8|9|11|14|16|18|20|22|24|26|27|30|-|2|4|6|8|9|11|14|15|18|20|22|24|26|27|29|-|1|4|6|8|10|11|14|16|18|20|22|24|26|28|30|-|1|3|6|8|9|11|14|16|18|20|22|24|26|27|29|-|2|4|6|8|10|11|14|15|18|20|22|23|26|27|30|-|1|3|6|8|9|11|14|16|18|20|22|24|26|27|29|,35,17,18,0.485714,2.139949,0.308689,TRUE
1216,|13|28|,|13|28|,|1|4|6|8|10|12|13|16|18|20|22|24|26|28|30|-|1|4|6|8|10|11|13|16|18|20|22|24|26|28|30|-|1|4|6|8|10|12|13|15|18|20|22|24|26|28|30|-|2|4|6|8|10|12|13|15|18|20|22|23|26|28|30|-|2|4|6|7|10|12|13|16|18|20|22|24|26|28|29|-|2|3|6|8|10|11|13|16|18|20|22|24|26|28|30|-|1|4|6|8|10|12|13|15|18|19|22|24|26|28|29|-|0|3|5|8|10|11|13|16|18|20|22|24|26|28|30|-|1|4|6|8|10|11|13|16|18|20|22|24|26|28|30|-|1|4|6|8|10|12|13|15|18|20|22|24|26|28|29|-|2|4|6|8|10|12|13|16|18|20|22|24|26|28|30|-|0|3|6|8|10|12|13|15|18|20|22|24|26|28|30|-|1|4|6|8|10|11|13|16|18|20|22|24|26|28|30|-|2|4|6|8|10|12|13|16|18|20|22|24|26|28|30|-|1|4|6|8|10|12|13|16|18|20|22|24|26|28|30|-|1|4|6|8|10|12|13|16|18|20|22|24|26|28|29|-|2|3|6|8|9|12|13|15|18|20|22|24|26|28|29|-|2|3|6|8|10|12|13|15|18|20|22|24|26|28|30|-|1|3|5|8|9|12|13|16|18|20|22|24|26|28|29|-|1|4|6|8|10|12|13|16|18|20|22|24|26|28|30|-|1|4|6|8|10|12|13|16|18|20|22|24|26|28|30|-|0|3|6|8|10|12|13|16|18|20|22|23|26|28|30|-|2|4|6|8|9|12|13|15|18|20|22|24|26|28|29|-|2|4|6|8|10|11|13|16|17|20|22|24|26|28|29|-|1|4|6|8|10|11|13|16|18|20|22|24|26|28|30|-|0|4|5|8|10|12|13|16|18|20|21|23|25|28|29|-|2|3|6|8|10|12|13|16|18|20|22|24|26|28|30|-|1|4|6|8|10|11|13|16|18|20|22|24|26|28|30|-|2|4|6|8|10|11|13|16|18|20|22|24|26|28|30|-|1|4|6|8|10|12|13|16|18|20|22|24|26|28|30|-|2|4|6|8|10|12|13|15|18|20|22|24|26|28|30|-|0|4|5|7|10|12|13|16|18|20|22|24|26|28|30|-|1|3|6|8|10|11|13|15|18|20|22|24|26|28|29|-|1|3|6|8|10|12|13|15|18|20|22|24|26|28|29|-|1|3|6|8|9|12|13|16|18|20|22|24|26|28|29|-|2|4|6|8|10|12|13|15|18|20|22|24|26|28|29|-|1|4|6|8|10|12|13|16|18|20|22|24|26|28|29|-|1|4|6|8|10|12|13|16|18|20|22|24|26|28|29|-|1|3|6|8|10|12|13|15|18|20|22|24|26|28|29|-|1|4|6|8|10|11|13|16|18|20|22|24|26|28|30|-|1|3|6|8|10|11|13|15|18|20|22|23|26|28|29|-|1|4|6|8|10|12|13|16|18|19|21|23|25|28|30|-|2|3|6|8|10|11|13|15|18|20|22|24|26|28|29|-|1|3|6|8|10|12|13|15|18|20|22|24|26|28|30|-|1|4|6|8|10|11|13|16|18|20|22|24|26|28|30|-|0|3|6|8|10|12|13|15|18|19|22|24|26|28|29|-|1|4|6|8|9|11|13|16|18|20|22|24|26|28|29|-|1|4|6|8|9|11|13|16|18|20|22|23|26|28|30|-|1|4|6|8|10|11|13|16|18|20|22|24|26|28|30|-|1|3|5|8|10|11|13|16|18|20|21|23|26|28|30|-|1|3|6|8|10|12|13|15|18|20|22|24|26|28|30|-|1|4|6|8|9|11|13|16|18|20|22|24|26|28|30|-|1|3|6|8|10|12|13|16|18|20|22|24|26|28|30|-|2|4|6|8|10|12|13|15|18|20|22|24|26|28|30|-|1|4|6|8|10|11|13|15|18|20|22|24|26|28|29|-|1|4|6|8|10|12|13|16|18|20|22|24|26|28|30|-|1|4|6|8|10|12|13|16|18|20|22|24|26|28|30|-|2|3|6|8|10|12|13|16|18|20|22|24|26|28|29|-|2|3|6|8|10|12|13|15|18|20|22|24|26|28|29|-|2|3|6|8|10|11|13|15|18|20|22|24|26|28|29|-|1|4|6|8|10|11|13|16|18|20|22|23|26|28|30|-|1|4|6|8|10|12|13|16|18|20|22|24|26|28|29|-|2|4|6|8|10|11|13|16|18|20|22|24|26|28|29|-|1|4|5|7|10|12|13|15|18|20|22|24|25|28|30|-|1|4|6|8|9|12|13|15|18|20|22|24|26|28|29|-|2|4|6|8|10|11|13|16|18|20|22|24|26|28|30|-|1|4|6|8|10|12|13|16|18|19|22|24|26|28|30|-|1|4|6|8|10|12|13|15|18|20|22|24|26|28|30|-|1|4|5|8|9|12|13|15|18|20|22|24|26|28|29|-|2|4|6|8|10|12|13|16|18|20|22|24|26|28|30|-|1|4|6|8|10|12|13|15|18|20|22|24|26|28|29|-|1|3|6|8|10|12|13|16|18|20|22|24|26|28|30|-|2|4|6|8|9|11|13|16|18|20|22|24|26|28|29|-|1|4|6|8|10|12|13|16|18|20|22|24|26|28|29|-|1|4|6|8|10|12|13|16|18|20|22|24|26|28|30|-|1|4|6|8|10|11|13|16|18|20|22|24|26|28|30|-|1|4|5|8|9|11|13|15|17|20|22|24|26|28|29|-|1|4|6|8|10|11|13|16|18|20|22|24|26|28|30|,78,3,75,0.038462,-2.480142,0.125969,TRUE
2119,|13|6|28|12|10|24|18|26|22|,|13|6|28|12|10|24|18|26|22|,|1|4|6|8|10|12|13|16|18|20|22|24|26|28|30|-|1|4|6|8|10|12|13|15|18|20|22|24|26|28|30|-|2|4|6|7|10|12|13|16|18|20|22|24|26|28|29|-|1|4|6|8|10|12|13|15|18|19|22|24|26|28|29|-|1|4|6|8|10|12|13|15|18|20|22|24|26|28|29|-|2|4|6|8|10|12|13|16|18|20|22|24|26|28|30|-|0|3|6|8|10|12|13|15|18|20|22|24|26|28|30|-|2|4|6|8|10|12|13|16|18|20|22|24|26|28|30|-|1|4|6|8|10|12|13|16|18|20|22|24|26|28|30|-|1|4|6|8|10|12|13|16|18|20|22|24|26|28|29|-|2|3|6|8|10|12|13|15|18|20|22|24|26|28|30|-|1|4|6|8|10|12|13|16|18|20|22|24|26|28|30|-|1|4|6|8|10|12|13|16|18|20|22|24|26|28|30|-|2|3|6|8|10|12|13|16|18|20|22|24|26|28|30|-|1|4|6|8|10|12|13|16|18|20|22|24|26|28|30|-|2|4|6|8|10|12|13|15|18|20|22|24|26|28|30|-|1|3|6|8|10|12|13|15|18|20|22|24|26|28|29|-|2|4|6|8|10|12|13|15|18|20|22|24|26|28|29|-|1|4|6|8|10|12|13|16|18|20|22|24|26|28|29|-|1|4|6|8|10|12|13|16|18|20|22|24|26|28|29|-|1|3|6|8|10|12|13|15|18|20|22|24|26|28|29|-|1|3|6|8|10|12|13|15|18|20|22|24|26|28|30|-|0|3|6|8|10|12|13|15|18|19|22|24|26|28|29|-|1|3|6|8|10|12|13|15|18|20|22|24|26|28|30|-|1|3|6|8|10|12|13|16|18|20|22|24|26|28|30|-|2|4|6|8|10|12|13|15|18|20|22|24|26|28|30|-|1|4|6|8|10|12|13|16|18|20|22|24|26|28|30|-|1|4|6|8|10|12|13|16|18|20|22|24|26|28|30|-|2|3|6|8|10|12|13|16|18|20|22|24|26|28|29|-|2|3|6|8|10|12|13|15|18|20|22|24|26|28|29|-|1|4|6|8|10|12|13|16|18|20|22|24|26|28|29|-|1|4|6|8|10|12|13|16|18|19|22|24|26|28|30|-|1|4|6|8|10|12|13|15|18|20|22|24|26|28|30|-|2|4|6|8|10|12|13|16|18|20|22|24|26|28|30|-|1|4|6|8|10|12|13|15|18|20|22|24|26|28|29|-|1|3|6|8|10|12|13|16|18|20|22|24|26|28|30|-|1|4|6|8|10|12|13|16|18|20|22|24|26|28|29|-|1|4|6|8|10|12|13|16|18|20|22|24|26|28|30|,38,0,38,0,-2.029371,0.024379,TRUE
3465,|15|29|6|28|8|18|26|22|,|15|29|6|28|8|18|26|22|,|1|4|6|8|10|12|13|15|18|19|22|24|26|28|29|-|2|3|6|8|10|12|14|15|18|20|22|24|26|28|29|-|2|4|6|8|10|12|14|15|18|20|22|24|26|28|29|-|2|4|6|8|10|12|14|15|18|20|22|24|26|28|29|-|2|4|6|8|9|12|14|15|18|20|22|24|26|28|29|-|1|4|6|8|9|12|14|15|18|20|22|24|26|28|29|-|1|4|6|8|10|12|13|15|18|20|22|24|26|28|29|-|1|4|6|8|10|12|14|15|18|20|22|24|26|28|29|-|1|3|6|8|9|12|14|15|18|20|22|24|26|28|29|-|1|4|6|8|9|12|14|15|18|20|22|24|26|28|29|-|2|3|6|8|10|12|14|15|18|20|22|24|26|28|29|-|2|3|6|8|9|12|13|15|18|20|22|24|26|28|29|-|2|4|6|8|9|12|14|15|18|20|22|24|26|28|29|-|2|4|6|8|9|12|13|15|18|20|22|24|26|28|29|-|2|4|6|8|10|12|14|15|18|20|22|24|26|28|29|-|1|3|6|8|10|11|13|15|18|20|22|24|26|28|29|-|2|4|6|8|10|12|14|15|18|20|22|24|26|28|29|-|1|4|6|8|10|12|14|15|18|20|22|24|26|28|29|-|1|3|6|8|10|12|13|15|18|20|22|24|26|28|29|-|2|4|6|8|10|12|13|15|18|20|22|24|26|28|29|-|2|4|6|8|10|12|14|15|18|20|22|24|26|28|29|-|1|3|6|8|10|12|13|15|18|20|22|24|26|28|29|-|1|3|6|8|10|11|13|15|18|20|22|23|26|28|29|-|2|3|6|8|10|11|13|15|18|20|22|24|26|28|29|-|2|4|6|8|10|12|14|15|18|20|22|24|26|28|29|-|2|4|6|8|10|12|14|15|18|20|22|24|26|28|29|-|2|4|6|8|10|12|14|15|18|20|22|24|26|28|29|-|2|3|6|8|9|12|14|15|18|20|22|24|26|28|29|-|0|3|6|8|10|12|13|15|18|19|22|24|26|28|29|-|2|4|6|8|10|12|14|15|18|20|22|24|26|28|29|-|1|4|6|8|10|11|13|15|18|20|22|24|26|28|29|-|1|3|6|8|10|12|14|15|18|20|22|24|26|28|29|-|2|3|6|8|10|12|13|15|18|20|22|24|26|28|29|-|2|3|6|8|10|11|13|15|18|20|22|24|26|28|29|-|1|4|6|8|9|12|13|15|18|20|22|24|26|28|29|-|1|4|6|8|10|12|13|15|18|20|22|24|26|28|29|-|2|4|6|8|10|12|14|15|18|20|22|24|26|28|29|,37,0,37,0,-2.267244,0.048262,TRUE
8490,|1|30|16|14|28|12|10|24|26|18|8|,|1|30|16|14|28|12|10|24|26|18|8|,|1|3|5|8|10|12|14|16|18|20|22|24|26|28|30|-|1|3|6|8|10|12|14|16|18|20|21|24|26|28|30|-|1|3|5|8|10|12|14|16|18|20|21|24|26|28|30|-|1|4|5|8|10|12|14|16|18|19|21|24|26|28|30|-|1|4|5|8|10|12|14|16|18|20|22|24|26|28|30|-|1|3|6|8|10|12|14|16|18|20|21|24|26|28|30|-|1|3|6|8|10|12|14|16|18|20|21|24|26|28|30|-|1|3|5|8|10|12|14|16|18|20|22|24|26|28|30|-|1|3|6|8|10|12|14|16|18|20|21|24|26|28|30|-|1|4|5|8|10|12|14|16|18|20|22|24|26|28|30|-|1|4|5|8|10|12|14|16|18|20|21|24|26|28|30|-|1|3|5|8|10|12|14|16|18|20|22|24|26|28|30|-|1|3|5|8|10|12|14|16|18|20|22|24|26|28|30|-|1|3|5|8|10|12|14|16|18|20|22|24|26|28|30|-|1|4|5|8|10|12|14|16|18|20|22|24|26|28|30|-|1|3|5|8|10|12|14|16|18|19|22|24|26|28|30|-|1|3|5|8|10|12|14|16|18|20|22|24|26|28|30|-|1|3|5|8|10|12|14|16|18|20|22|24|26|28|30|-|1|3|5|8|10|12|14|16|18|20|22|24|26|28|30|-|1|4|5|8|10|12|14|16|18|20|22|24|26|28|30|-|1|3|6|8|10|12|14|16|18|20|21|24|26|28|30|-|1|3|6|8|10|12|14|16|18|20|21|24|26|28|30|-|1|3|5|8|10|12|14|16|18|20|22|24|26|28|30|-|1|3|5|8|10|12|14|16|18|19|22|24|26|28|30|-|1|3|5|8|10|12|14|16|18|20|22|24|26|28|30|-|1|3|6|8|10|12|14|16|18|20|21|24|26|28|30|-|1|3|5|8|10|12|14|16|18|20|22|24|26|28|30|-|1|3|5|8|10|12|14|16|18|20|22|24|26|28|30|-|1|3|5|8|10|12|14|16|18|20|22|24|26|28|30|-|1|4|5|8|10|12|14|16|18|19|22|24|26|28|30|-|1|4|6|8|10|12|14|16|18|20|21|24|26|28|30|-|1|3|5|8|10|12|14|16|18|20|22|24|26|28|30|-|1|3|6|8|10|12|14|16|18|19|22|24|26|28|30|-|1|3|6|8|10|12|14|16|18|20|21|24|26|28|30|,34,9,25,0.264706,2.260535,0.170987,TRUE
9720,|23|30|14|12|18|20|8|,|23|30|14|12|18|20|8|,|2|3|6|8|10|12|14|15|18|20|22|23|26|27|30|-|1|3|6|8|10|12|14|16|18|20|21|23|26|28|30|-|1|4|6|8|10|12|14|16|18|20|22|23|26|28|30|-|1|3|5|8|10|12|14|16|18|20|21|23|26|28|30|-|0|3|6|8|9|12|14|16|18|20|21|23|25|28|30|-|1|3|6|8|10|12|14|16|18|20|22|23|26|27|30|-|2|4|6|8|10|12|14|16|18|20|22|23|26|28|30|-|1|3|6|8|10|12|14|16|18|20|22|23|26|27|30|-|2|3|6|8|10|12|14|16|18|20|22|23|26|28|30|-|1|3|6|8|9|12|14|16|18|20|22|23|26|28|30|-|1|3|6|8|10|12|14|15|18|20|22|23|26|28|30|-|1|4|6|8|10|12|14|16|18|20|21|23|26|28|30|-|2|4|6|8|10|12|14|16|18|20|21|23|25|28|30|-|2|4|6|8|10|12|14|16|18|20|22|23|25|28|30|-|1|3|6|8|9|12|14|16|18|20|22|23|26|28|30|-|1|4|5|8|10|12|14|16|18|20|22|23|25|28|30|-|1|3|6|8|9|12|14|16|18|20|21|23|25|27|30|-|1|3|6|8|10|12|14|16|18|20|22|23|26|27|30|-|1|4|5|8|10|12|14|16|18|20|22|23|25|28|30|-|1|3|6|8|10|12|14|16|18|20|22|23|26|28|30|-|1|3|6|8|9|12|14|16|18|20|21|23|26|27|30|-|0|3|6|8|10|12|14|15|18|20|22|23|26|27|30|-|0|3|6|8|10|12|14|16|18|20|22|23|26|28|30|-|0|3|6|8|10|12|14|16|18|20|22|23|26|28|30|-|1|4|6|8|10|12|14|16|18|20|21|23|26|28|30|-|2|3|6|8|9|12|14|16|18|20|22|23|26|28|30|-|1|4|6|8|10|12|14|15|18|20|22|23|26|27|30|-|2|4|5|8|9|12|14|16|18|20|22|23|26|28|30|-|1|3|6|8|9|12|14|15|18|20|22|23|25|27|30|-|1|3|6|8|9|12|14|16|18|20|21|23|25|27|30|-|2|3|6|8|10|12|14|16|18|20|21|23|26|28|30|-|1|4|6|8|10|12|14|16|18|20|22|23|26|28|30|-|1|4|6|8|10|12|14|16|18|20|22|23|26|28|30|-|1|3|5|8|10|12|14|16|18|20|21|23|26|27|30|,34,12,22,0.352941,2.320082,0.223218,TRUE
9813,|27|10|22|26|18|8|20|,|27|10|22|26|18|8|20|,|2|3|6|8|10|12|14|15|18|20|22|23|26|27|30|-|1|3|5|8|10|12|14|15|18|20|22|24|26|27|30|-|0|4|5|8|10|12|14|16|18|20|22|24|26|27|30|-|1|3|6|8|10|12|14|15|18|20|22|24|26|27|30|-|1|3|6|8|10|12|14|16|18|20|22|23|26|27|30|-|2|4|6|8|10|12|14|16|18|20|22|24|26|27|29|-|2|4|6|8|10|11|14|16|18|20|22|24|26|27|30|-|1|3|5|8|10|11|14|16|18|20|22|24|26|27|30|-|1|4|5|8|10|11|14|15|18|20|22|23|26|27|30|-|1|3|6|8|10|12|14|16|18|20|22|23|26|27|30|-|1|3|6|8|10|11|14|16|18|20|22|23|26|27|29|-|2|3|5|8|10|12|14|16|18|20|22|24|26|27|30|-|1|3|6|8|10|12|14|16|18|20|22|24|26|27|30|-|1|3|6|8|10|12|14|16|18|20|22|24|26|27|30|-|1|4|6|8|10|11|13|16|18|20|22|23|26|27|30|-|1|3|5|8|10|11|14|16|18|20|22|23|26|27|30|-|2|4|6|8|10|12|14|16|18|20|22|24|26|27|29|-|2|3|5|8|10|12|14|15|18|20|22|24|26|27|29|-|1|3|6|8|10|12|14|16|18|20|22|23|26|27|30|-|1|3|6|8|10|11|14|15|18|20|22|24|26|27|29|-|2|3|5|8|10|12|13|15|18|20|22|24|26|27|30|-|0|3|6|8|10|12|14|15|18|20|22|23|26|27|30|-|1|3|5|8|10|12|14|16|18|20|22|24|26|27|30|-|2|3|6|8|10|11|13|16|18|20|22|24|26|27|29|-|2|4|6|8|10|12|14|15|18|20|22|24|26|27|29|-|2|4|6|8|10|12|14|15|18|20|22|24|26|27|29|-|2|4|6|8|10|12|14|16|18|20|22|24|26|27|29|-|2|4|6|8|10|11|14|15|18|20|22|23|26|27|30|-|1|4|6|8|10|12|13|15|18|20|22|24|26|27|29|-|1|3|6|8|10|12|13|15|18|20|22|24|26|27|30|-|1|4|6|8|10|12|14|15|18|20|22|23|26|27|30|-|2|4|6|8|10|12|14|16|18|20|22|24|26|27|30|-|1|4|6|8|10|12|13|15|18|20|22|23|26|27|29|-|1|3|6|8|10|11|13|16|18|20|22|24|26|27|29|-|2|3|6|8|10|12|14|15|18|20|22|24|26|27|29|-|1|3|5|8|10|12|14|16|18|20|22|24|26|27|30|,36,26,10,0.722222,2.171006,0.327807,TRUE
9890,|27|14|10|22|26|8|20|,|27|14|10|22|26|8|20|,|2|3|6|8|10|12|14|15|18|20|22|23|26|27|30|-|1|4|5|8|10|12|14|16|17|20|22|24|26|27|30|-|1|3|5|8|10|12|14|15|18|20|22|24|26|27|30|-|0|4|5|8|10|12|14|16|18|20|22|24|26|27|30|-|1|3|6|8|10|12|14|15|18|20|22|24|26|27|30|-|1|3|6|8|10|12|14|16|18|20|22|23|26|27|30|-|2|4|6|8|10|12|14|16|18|20|22|24|26|27|29|-|2|4|6|8|10|11|14|16|18|20|22|24|26|27|30|-|1|3|5|8|10|11|14|16|18|20|22|24|26|27|30|-|1|4|5|8|10|11|14|15|18|20|22|23|26|27|30|-|1|3|6|8|10|12|14|16|18|20|22|23|26|27|30|-|1|4|6|8|10|12|14|15|17|20|22|24|26|27|30|-|1|4|6|8|10|11|14|16|17|20|22|24|26|27|30|-|1|3|6|8|10|11|14|16|18|20|22|23|26|27|29|-|1|4|6|8|10|12|14|16|17|20|22|24|26|27|30|-|2|3|5|8|10|12|14|16|18|20|22|24|26|27|30|-|1|3|6|8|10|12|14|16|18|20|22|24|26|27|30|-|1|3|6|8|10|12|14|16|18|20|22|24|26|27|30|-|1|3|5|8|10|11|14|16|18|20|22|23|26|27|30|-|2|4|6|8|10|12|14|16|18|20|22|24|26|27|29|-|2|3|5|8|10|12|14|15|18|20|22|24|26|27|29|-|1|3|6|8|10|12|14|16|18|20|22|23|26|27|30|-|1|3|6|8|10|11|14|15|18|20|22|24|26|27|29|-|0|3|6|8|10|12|14|15|18|20|22|23|26|27|30|-|1|3|6|8|10|11|14|15|17|20|22|24|26|27|29|-|1|3|5|8|10|12|14|16|18|20|22|24|26|27|30|-|2|4|6|8|10|12|14|15|18|20|22|24|26|27|29|-|2|4|6|8|10|12|14|15|18|20|22|24|26|27|29|-|2|4|6|8|10|12|14|16|18|20|22|24|26|27|29|-|2|4|6|8|10|11|14|15|18|20|22|23|26|27|30|-|1|4|6|8|10|12|14|15|18|20|22|23|26|27|30|-|2|4|6|8|10|12|14|16|18|20|22|24|26|27|30|-|2|3|6|8|10|12|14|16|17|20|22|24|26|27|29|-|2|3|6|8|10|12|14|15|18|20|22|24|26|27|29|-|1|3|5|8|10|12|14|16|18|20|22|24|26|27|30|,35,27,8,0.771429,2.36409,0.40304,TRUE
9933,|27|14|24|22|26|18|8|20|,|27|14|24|22|26|18|8|20|,|1|3|5|8|10|12|14|15|18|20|22|24|26|27|30|-|0|4|5|8|10|12|14|16|18|20|22|24|26|27|30|-|1|3|6|8|10|12|14|15|18|20|22|24|26|27|30|-|2|4|6|8|10|12|14|16|18|20|22|24|26|27|29|-|2|4|6|8|10|11|14|16|18|20|22|24|26|27|30|-|1|3|5|8|10|11|14|16|18|20|22|24|26|27|30|-|1|3|5|8|9|11|14|15|18|20|22|24|26|27|29|-|1|3|6|8|9|12|14|15|18|20|22|24|26|27|29|-|2|3|5|8|9|12|14|16|18|20|22|24|26|27|29|-|2|3|5|8|10|12|14|16|18|20|22|24|26|27|30|-|0|4|5|8|9|11|14|16|18|20|22|24|26|27|30|-|1|3|6|8|10|12|14|16|18|20|22|24|26|27|30|-|1|3|6|8|10|12|14|16|18|20|22|24|26|27|30|-|2|4|6|8|10|12|14|16|18|20|22|24|26|27|29|-|2|3|5|8|10|12|14|15|18|20|22|24|26|27|29|-|2|3|6|8|9|12|14|15|18|20|22|24|26|27|29|-|1|3|6|8|9|11|14|16|18|20|22|24|26|27|29|-|1|3|6|8|10|11|14|15|18|20|22|24|26|27|29|-|1|3|5|8|9|11|14|16|18|20|22|24|26|27|30|-|2|4|5|8|9|11|14|15|18|20|22|24|26|27|29|-|2|4|6|8|9|12|14|15|18|20|22|24|26|27|29|-|1|3|5|8|10|12|14|16|18|20|22|24|26|27|30|-|1|4|5|8|9|12|14|16|18|20|22|24|26|27|30|-|0|4|5|8|9|11|14|16|18|20|22|24|26|27|30|-|2|4|6|8|10|12|14|15|18|20|22|24|26|27|29|-|2|4|6|8|10|12|14|15|18|20|22|24|26|27|29|-|2|4|6|8|10|12|14|16|18|20|22|24|26|27|29|-|2|4|6|8|9|11|14|15|18|20|22|24|26|27|29|-|1|3|6|8|9|11|14|16|18|20|22|24|26|27|29|-|2|3|6|8|9|12|14|15|18|20|22|24|26|27|29|-|2|4|6|8|9|12|14|15|18|20|22|24|26|27|29|-|1|4|6|8|9|12|14|16|18|20|22|24|26|27|29|-|2|4|6|8|10|12|14|16|18|20|22|24|26|27|30|-|1|4|6|8|9|12|14|15|18|20|22|24|26|27|29|-|1|3|6|8|9|11|14|16|18|20|22|24|26|27|29|-|2|4|6|8|9|12|14|16|18|20|22|24|26|27|29|-|2|3|6|8|10|12|14|15|18|20|22|24|26|27|29|-|1|3|5|8|10|12|14|16|18|20|22|24|26|27|30|,38,16,22,0.421053,2.529053,0.225331,TRUE
